iter	Passed	Remaining
0	0	758
1	1	699
2	2	685
3	2	663
4	3	641
5	4	673
6	4	662
7	5	704
8	6	686
9	6	679
10	7	676
11	8	674
12	8	664
13	9	656
14	9	649
15	10	641
16	11	636
17	11	630
18	12	625
19	12	627
20	13	625
21	14	622
22	14	618
23	15	614
24	15	611
25	16	608
26	16	606
27	17	603
28	18	609
29	18	610
30	19	608
31	20	607
32	20	607
33	21	605
34	21	603
35	22	601
36	23	600
37	23	604
38	24	604
39	25	602
40	25	602
41	26	600
42	26	599
43	27	596
44	28	594
45	28	595
46	29	597
47	30	596
48	30	595
49	31	594
50	32	597
51	32	596
52	33	596
53	34	596
54	34	597
55	35	596
56	36	597
57	36	597
58	37	598
59	38	597
60	38	597
61	39	595
62	40	597
63	40	596
64	41	595
65	42	595
66	42	594
67	43	593
68	43	591
69	44	589
70	45	590
71	45	592
72	46	594
73	47	593
74	48	592
75	48	590
76	49	589
77	49	587
78	50	586
79	50	586
80	51	585
81	52	584
82	52	580
83	53	579
84	53	579
85	54	578
86	54	576
87	55	575
88	56	577
89	57	576
90	57	575
91	58	575
92	58	574
93	59	572
94	59	571
95	60	571
96	61	572
97	62	573
98	62	572
99	63	570
100	64	570
101	64	569
102	65	568
103	65	567
104	66	566
105	67	566
106	67	566
107	68	565
108	69	564
109	69	563
110	70	562
111	70	561
112	71	560
113	71	559
114	72	558
115	73	558
116	73	557
117	74	558
118	75	559
119	76	561
120	77	561
121	77	561
122	79	563
123	79	563
124	80	564
125	81	564
126	82	563
127	82	563
128	83	565
129	84	567
130	85	567
131	86	568
132	87	569
133	88	569
134	89	573
135	90	573
136	91	574
137	91	574
138	92	574
139	93	573
140	94	574
141	94	573
142	95	572
143	96	571
144	96	570
145	97	569
146	97	568
147	98	566
148	99	565
149	99	565
150	100	564
151	101	564
152	101	563
153	102	563
154	103	562
155	103	561
156	104	560
157	105	560
158	105	560
159	106	559
160	106	557
161	107	556
162	108	554
163	108	553
164	109	552
165	109	551
166	110	551
167	111	550
168	111	550
169	112	549
170	113	548
171	113	547
172	114	546
173	114	545
174	115	544
175	116	545
176	117	544
177	117	543
178	118	542
179	118	542
180	119	541
181	120	540
182	120	538
183	121	538
184	122	537
185	122	536
186	123	535
187	123	534
188	124	533
189	124	532
190	125	531
191	126	530
192	126	529
193	127	528
194	127	527
195	128	526
196	129	526
197	129	525
198	130	524
199	130	523
200	131	523
201	132	522
202	133	522
203	133	522
204	134	521
205	135	521
206	136	521
207	136	520
208	137	519
209	137	518
210	138	518
211	139	518
212	140	517
213	140	516
214	141	515
215	141	514
216	142	513
217	142	512
218	143	512
219	144	511
220	145	512
221	146	511
222	146	511
223	147	510
224	147	509
225	148	508
226	149	507
227	149	507
228	150	506
229	151	506
230	151	505
231	152	504
232	152	503
233	153	502
234	154	502
235	155	502
236	155	501
237	156	501
238	157	500
239	157	499
240	158	498
241	158	497
242	159	497
243	160	496
244	160	496
245	161	495
246	162	494
247	162	493
248	163	493
249	164	492
250	164	491
251	165	491
252	166	490
253	166	489
254	167	489
255	168	488
256	168	488
257	169	487
258	170	486
259	170	486
260	171	485
261	172	485
262	173	485
263	174	485
264	174	485
265	175	484
266	176	484
267	177	483
268	177	482
269	178	482
270	178	481
271	179	480
272	180	479
273	180	478
274	181	477
275	181	477
276	182	476
277	183	475
278	183	475
279	184	474
280	184	473
281	185	472
282	186	471
283	186	470
284	187	470
285	188	469
286	188	468
287	189	468
288	189	467
289	190	466
290	191	465
291	191	464
292	192	463
293	192	463
294	193	462
295	194	461
296	194	460
297	195	460
298	195	459
299	196	458
300	196	457
301	197	456
302	198	456
303	198	455
304	199	454
305	200	453
306	200	452
307	201	452
308	202	451
309	202	451
310	203	450
311	204	450
312	204	449
313	205	448
314	206	448
315	206	447
316	207	446
317	208	446
318	208	445
319	209	445
320	210	444
321	210	443
322	211	442
323	211	442
324	212	441
325	213	440
326	213	440
327	214	439
328	215	439
329	216	439
330	217	438
331	217	438
332	218	437
333	219	438
334	220	438
335	221	438
336	222	437
337	223	437
338	224	437
339	225	437
